Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Reason_for_cancelling_by_Customer,Reason_for_cancelling_by_Driver,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
25-01-2025 00:00,04:26:00,CNR1232643918,Successful,49658,Prime Sedan,Area 49,Area 17,13.29,3.18,,,,158.48,28.96,3.6,3.8
23-01-2025 00:00,02:47:00,CNR9754162499,Successful,86906,eBike,Area 3,Area 37,14.77,15.57,,,,481.77,29.14,4.4,4
09-01-2025 00:00,18:36:00,CNR3719464485,Successful,70838,Prime Plus,Area 12,Area 8,7.53,3.65,,,,1440.18,21.41,3,3.2
22-01-2025 00:00,04:24:00,CNR5627739451,Incomplete,84483,Prime Plus,Area 33,Area 16,,,,,Vehicle Breakdown,,,,
01-01-2025 00:00,06:24:00,CNR7765557484,Incomplete,10821,Prime SUV,Area 16,Area 30,,,,,Customer Demand,,,,
31-01-2025 00:00,12:38:00,CNR9753969345,Successful,38141,Bike,Area 16,Area 29,2.08,3.93,,,,319.77,27.35,4.1,4.2
02-01-2025 00:00,02:19:00,CNR8550677823,Successful,30545,Mini,Area 41,Area 40,3.79,13.37,,,,181.54,22.82,3.3,4.6
19-01-2025 00:00,19:13:00,CNR9334608668,Successful,66574,Bike,Area 39,Area 23,3.05,7.31,,,,156.88,10.09,4.8,4.6
26-01-2025 00:00,11:01:00,CNR8280176603,Incomplete,88880,Prime Sedan,Area 13,Area 45,,,,,Customer Demand,,,,
25-01-2025 00:00,23:34:00,CNR4452637506,Incomplete,78869,eBike,Area 15,Area 6,,,,,Other Issue,,,,
29-01-2025 00:00,04:11:00,CNR7415090255,Incomplete,85552,Prime SUV,Area 17,Area 27,,,,,Customer Demand,,,,
09-01-2025 00:00,03:13:00,CNR4840930107,Successful,16298,Auto,Area 26,Area 25,5.9,16.37,,,,385.56,14.52,4.6,4.2
27-01-2025 00:00,04:19:00,CNR2170730917,Successful,13067,Auto,Area 28,Area 9,12.16,17.24,,,,295.07,10.76,3.7,3.5
21-01-2025 00:00,14:31:00,CNR6601154854,Incomplete,11886,Prime Sedan,Area 37,Area 23,,,,,Other Issue,,,,
21-01-2025 00:00,22:12:00,CNR6845074058,Incomplete,51319,Mini,Area 9,Area 31,,,,,Customer Demand,,,,
05-01-2025 00:00,18:00:00,CNR5871326287,Successful,10383,Auto,Area 2,Area 37,11.84,15.19,,,,398.67,24.9,4.2,3.8
29-01-2025 00:00,15:30:00,CNR7334162218,Successful,22465,Auto,Area 41,Area 5,12.56,16.88,,,,473.36,23.3,4.2,4.6
15-01-2025 00:00,23:46:00,CNR5840629509,Incomplete,64427,eBike,Area 27,Area 30,,,,,Other Issue,,,,
06-01-2025 00:00,03:14:00,CNR6887052434,Successful,77197,Mini,Area 7,Area 20,3.51,8.77,,,,425.82,6.95,4.4,4.6
13-01-2025 00:00,12:32:00,CNR7412577207,Successful,17429,Prime Plus,Area 22,Area 35,13.12,16.58,,,,1565.43,22.91,3.9,4.2
10-01-2025 00:00,16:11:00,CNR5117080407,Incomplete,24628,Bike,Area 44,Area 16,,,,,Vehicle Breakdown,,,,
19-01-2025 00:00,17:15:00,CNR6070727101,Incomplete,26556,Bike,Area 37,Area 30,,,,,Customer Demand,,,,
